text,label
Got messages threatening to kill me if I don't pay ₹0. They claim to know my home address and daily schedule.,Online Harassment & Threats
Got addicted to online gambling apps. Lost ₹30000 in total. These apps should be banned.,Others
Got addicted to online gambling apps. Lost ₹150000 in total. These apps should be banned.,Others
A person I met online has my intimate photos. Threatening to post them on social media unless I pay ₹0.,Online Harassment & Threats
Purchased mobile phone for ₹0 from a fake shopping website. The site disappeared after taking payment.,E-Commerce & Job Fraud
Transferred ₹10000 worth of Bitcoin to a wallet address for an investment opportunity. The person disappeared after receiving payment.,Financial Fraud
Received email about a government subsidy scheme. Had to pay ₹25000 as registration fee. It was a scam and I lost my money.,Financial Fraud
Got a call from fake MobiKwik support asking me to share my UPI PIN to resolve an issue. They stole ₹30000 from my account.,Financial Fraud
Paid ₹0 to an Instagram seller for a product. They blocked me after receiving payment and never sent the item.,E-Commerce & Job Fraud
Discovered my identity was stolen when I tried to apply for a loan. Someone already took a loan of ₹30000 using my documents.,Hacking & Unauthorized Access
"Someone created a fake LinkedIn profile with my details and is approaching companies for jobs, damaging my professional reputation.",Social Media Crimes
Someone hacked into my phone and is monitoring my calls and messages. They know my conversations and are blackmailing me.,Online Harassment & Threats
Got a call from fake MobiKwik support asking me to share my UPI PIN to resolve an issue. They stole ₹75000 from my account.,Financial Fraud
A fake Twitter account in my name is posting controversial content. People think it's me and I'm facing backlash.,Social Media Crimes
Someone created a website specifically to defame me with fake stories and accusations.,Others
Receiving death threats via email and WhatsApp from unknown numbers. They have my personal photos and threatening to harm my family.,Online Harassment & Threats
Found charges of ₹45000 on my HDFC Bank credit card statement for subscriptions I never signed up for.,Financial Fraud
"Someone created a fake website looking exactly like Kotak Mahindra portal. I entered my login credentials and OTP. Within minutes, ₹0 was transferred from my account.",Financial Fraud
A fake account impersonating me is messaging my friends and family asking for money transfers.,Social Media Crimes
I received a message claiming to be from Bank of Baroda asking me to update my KYC details urgently. I clicked the link and entered my card details. Now ₹0 has been debited from my account.,Financial Fraud
Someone created deepfake videos of me and posted them online. The videos show me in compromising situations that never happened.,Social Media Crimes
Got addicted to online gambling apps. Lost ₹15000 in total. These apps should be banned.,Others
Found out someone created a fake profile using my photos and personal details on social media. They're scamming people in my name.,Hacking & Unauthorized Access
Being blackmailed with morphed obscene photos. The blackmailer wants ₹0 and threatening to send photos to my contacts.,Online Harassment & Threats
False allegations about my professional conduct are being posted on multiple platforms. Losing clients because of these lies.,Social Media Crimes
Joined an investment group on Telegram. They claimed guaranteed returns. I invested ₹15000 but they blocked me after taking the money.,Financial Fraud
Someone used my Aadhaar card details to get a SIM card and loan. Now I'm receiving collection calls for a ₹50000 loan I never took.,Hacking & Unauthorized Access
Participated in online cricket betting and lost ₹5000. The app is operating illegally in India.,Others
Got messages threatening to kill me if I don't pay ₹0. They claim to know my home address and daily schedule.,Online Harassment & Threats
Found my credit card details being sold on dark web after a data breach at an e-commerce website.,Hacking & Unauthorized Access
Downloaded a PDF file from email that installed a keylogger on my system. Someone accessed my banking credentials.,Ransomware & Malware
A fake account impersonating me is messaging my friends and family asking for money transfers.,Social Media Crimes
Found out someone created a fake profile using my photos and personal details on social media. They're scamming people in my name.,Hacking & Unauthorized Access
Paid ₹25000 for study material that was promised to be comprehensive. Received photocopied pages from old books.,E-Commerce & Job Fraud
Someone hacked my MobiKwik account and made unauthorized UPI transactions totaling ₹15000 to unknown numbers.,Financial Fraud
A group of people created fake accounts to bully and defame me online. They're posting my personal information publicly.,Online Harassment & Threats
A person I met online has my intimate photos. Threatening to post them on social media unless I pay ₹0.,Online Harassment & Threats
A fake account impersonating me is messaging my friends and family asking for money transfers.,Social Media Crimes
Someone installed spyware on my device remotely. They're monitoring all my activities including passwords and bank details.,Ransomware & Malware
Morphed screenshots of fake conversations are being circulated to defame me. People believe I said things I never did.,Social Media Crimes
Registered for an online degree program for ₹150000. Later found out the university doesn't exist and degree has no value.,E-Commerce & Job Fraud
Being blackmailed with morphed obscene photos. The blackmailer wants ₹0 and threatening to send photos to my contacts.,Online Harassment & Threats
A fake account impersonating me is messaging my friends and family asking for money transfers.,Social Media Crimes
My phone is infected with a trojan. It's sending SMS to premium numbers and making unauthorized calls costing ₹0.,Ransomware & Malware
Someone created a website specifically to defame me with fake stories and accusations.,Others
Paid ₹5000 for study material that was promised to be comprehensive. Received photocopied pages from old books.,E-Commerce & Job Fraud
Someone hacked into my phone and is monitoring my calls and messages. They know my conversations and are blackmailing me.,Online Harassment & Threats
"My ex-partner installed spyware on my phone. They're tracking my location, reading messages, and listening to calls.",Ransomware & Malware
Receiving messages with threat to rape and murder. The sender knows my workplace and where my children study.,Online Harassment & Threats
"Received a UPI payment request instead of receiving money. In confusion, I approved it and ₹15000 was deducted from my account.",Financial Fraud
Received an email saying my SBI account will be blocked unless I verify. The link took me to a fake site where I entered my details. ₹0 was stolen.,Financial Fraud
Received a fake job offer from a reputed company via email. Paid ₹0 as registration fee but it was a scam.,E-Commerce & Job Fraud
My software code was copied and sold by another developer. This is copyright infringement.,Others
Someone is creating and sharing fake news articles with my name mentioned. It's affecting my business and personal life.,Social Media Crimes
A fake Twitter account in my name is posting controversial content. People think it's me and I'm facing backlash.,Social Media Crimes
Someone is creating and sharing fake news articles with my name mentioned. It's affecting my business and personal life.,Social Media Crimes
My phone is infected with a trojan. It's sending SMS to premium numbers and making unauthorized calls costing ₹0.,Ransomware & Malware
"Someone created a fake LinkedIn profile with my details and is approaching companies for jobs, damaging my professional reputation.",Social Media Crimes
False and defamatory statements about my business are posted on review sites. This is causing financial losses.,Others
My competitor is posting negative reviews on my business page with fake accounts to damage my reputation.,Others
Joined a skill development course after paying ₹5000. Course content was copied from free YouTube videos.,E-Commerce & Job Fraud
Clicked on an email attachment and my laptop got infected. Now cannot access any files and getting ransom demand of ₹45000.,Ransomware & Malware
My medical records were leaked in a hospital data breach. Sensitive health information is now public.,Hacking & Unauthorized Access
Received an email saying my Yes Bank account will be blocked unless I verify. The link took me to a fake site where I entered my details. ₹0 was stolen.,Financial Fraud
"Received a UPI payment request instead of receiving money. In confusion, I approved it and ₹20000 was deducted from my account.",Financial Fraud
My driving license was used by someone else to commit fraud. I received a legal notice for something I didn't do.,Hacking & Unauthorized Access
Received ransomware through a fake software update. All my important documents are locked and they want ₹15000.,Ransomware & Malware
Purchased mobile phone for ₹0 from a fake shopping website. The site disappeared after taking payment.,E-Commerce & Job Fraud
Found my photos edited with fake quotes attributed to me. These are being used to spread political propaganda.,Social Media Crimes
My Paytm account was taken over by someone. They changed all security settings and made purchases worth ₹0.,Hacking & Unauthorized Access
Discovered keylogger software on my office computer. Someone was recording all my keystrokes including sensitive information.,Ransomware & Malware
Someone gained access to my online shopping account and ordered products worth ₹0 to a different address.,Hacking & Unauthorized Access
"Received a UPI payment request instead of receiving money. In confusion, I approved it and ₹30000 was deducted from my account.",Financial Fraud
Hacker accessed my Gmail account and used it to reset passwords for my bank accounts. They attempted transactions worth ₹0.,Hacking & Unauthorized Access
Fake videos with my face using deepfake technology are being shared. It shows me saying things I never said.,Social Media Crimes
Discovered a complex cyber fraud scheme involving multiple people and platforms.,Others
Paid ₹45000 for study material that was promised to be comprehensive. Received photocopied pages from old books.,E-Commerce & Job Fraud
Someone is sending me abusive messages daily on WhatsApp and other platforms. They threatened to harm me physically.,Online Harassment & Threats
Downloaded software from untrusted website and my computer got infected with virus. All personal data was stolen.,Ransomware & Malware
Ordered items worth ₹0 on an online marketplace. Seller marked as shipped but I never received anything.,E-Commerce & Job Fraud
My photos were morphed with obscene content and shared on adult websites. This is destroying my personal life.,Social Media Crimes
Enrolled in an online course for ₹30000 that promised certification from a reputed university. Course was fake and worthless.,E-Commerce & Job Fraud
Transferred ₹150000 worth of Bitcoin to a wallet address for an investment opportunity. The person disappeared after receiving payment.,Financial Fraud
Paid ₹20000 for an entrance exam coaching that guaranteed admission. Institute shut down after collecting fees from students.,E-Commerce & Job Fraud
Received email claiming they have my browsing history and webcam recordings. Demanding ₹0 in Bitcoin to delete them.,Online Harassment & Threats
Receiving death threats via email and WhatsApp from unknown numbers. They have my personal photos and threatening to harm my family.,Online Harassment & Threats
Received credit card from Axis Bank which I never applied for. Someone used my identity to get the card and spent ₹30000.,Financial Fraud
I am being constantly harassed on social media by someone posting hateful comments and messages targeting me.,Online Harassment & Threats
A group of people created fake accounts to bully and defame me online. They're posting my personal information publicly.,Online Harassment & Threats
Received an email saying my IndusInd Bank account will be blocked unless I verify. The link took me to a fake site where I entered my details. ₹0 was stolen.,Financial Fraud
Downloaded software from untrusted website and my computer got infected with virus. All personal data was stolen.,Ransomware & Malware
Mobile got infected after installing a fake app. The virus is stealing my contacts and personal information.,Ransomware & Malware
My driving license was used by someone else to commit fraud. I received a legal notice for something I didn't do.,Hacking & Unauthorized Access
Someone is streaming live matches illegally and selling subscriptions. This is copyright violation.,Social Media Crimes
Receiving death threats via email and WhatsApp from unknown numbers. They have my personal photos and threatening to harm my family.,Online Harassment & Threats
Found evidence of cybercrime network operating across multiple states. This needs higher authority intervention.,Others
Received a fake job offer from a reputed company via email. Paid ₹0 as registration fee but it was a scam.,E-Commerce & Job Fraud
Discovered keylogger software on my office computer. Someone was recording all my keystrokes including sensitive information.,Ransomware & Malware
My computer was infected with ransomware. All files are encrypted and hackers demand ₹75000 in Bitcoin to decrypt them.,Ransomware & Malware
A person I met online has my intimate photos. Threatening to post them on social media unless I pay ₹0.,Online Harassment & Threats
False allegations of fraud are being posted about my company on social media. This is destroying years of goodwill.,Others
My phone is infected with a trojan. It's sending SMS to premium numbers and making unauthorized calls costing ₹0.,Ransomware & Malware
Someone is streaming live matches illegally and selling subscriptions. This is copyright violation.,Social Media Crimes
My server was compromised with ransomware. Database is encrypted and hackers threatening to delete everything unless paid ₹200000.,Ransomware & Malware
Paid ₹0 to an Instagram seller for a product. They blocked me after receiving payment and never sent the item.,E-Commerce & Job Fraud
False allegations of fraud are being posted about my company on social media. This is destroying years of goodwill.,Others
Got addicted to online gambling apps. Lost ₹45000 in total. These apps should be banned.,Others
Someone gifted me a phone which had pre-installed spyware. They were accessing my camera and microphone remotely.,Ransomware & Malware
Customer data including mine was exposed when Flipkart servers were hacked. Receiving spam and fraud calls ever since.,Hacking & Unauthorized Access
Facing cybercrime that doesn't fit standard categories. Need help to report this unusual case.,Others
Being blackmailed with morphed obscene photos. The blackmailer wants ₹0 and threatening to send photos to my contacts.,Online Harassment & Threats
"A person I rejected is stalking me online, commenting on every post, and sending unwanted messages despite being blocked multiple times.",Online Harassment & Threats
Someone gifted me a phone which had pre-installed spyware. They were accessing my camera and microphone remotely.,Ransomware & Malware
My credit card was used for unauthorized transactions at various online shopping sites. Total loss: ₹45000. I never made these purchases.,Financial Fraud
Joined an online casino through a WhatsApp group. Deposited ₹15000 but cannot withdraw my winnings now.,Others
Paid ₹0 to an Instagram seller for a product. They blocked me after receiving payment and never sent the item.,E-Commerce & Job Fraud
Bought a used laptop for ₹0 on a classified website. Seller took the money and stopped responding.,E-Commerce & Job Fraud
False rumors about me are being spread on WhatsApp groups. My reputation in society has been severely damaged.,Social Media Crimes
A person I met online has my intimate photos. Threatening to post them on social media unless I pay ₹0.,Online Harassment & Threats
Invested ₹100000 in a fake cryptocurrency scheme promising 300% returns. The website disappeared after collecting money from investors.,Financial Fraud
A person contacted me on WhatsApp offering personal loans at low interest. Paid ₹5000 as processing fee but never got the loan.,Financial Fraud
A person is selling leaked exam papers and answer keys online. This is affecting the education system.,Social Media Crimes
Someone gifted me a phone which had pre-installed spyware. They were accessing my camera and microphone remotely.,Ransomware & Malware
Found out someone created a fake profile using my photos and personal details on social media. They're scamming people in my name.,Hacking & Unauthorized Access
Someone is sending threatening messages demanding ₹0 or they will leak my private information online.,Online Harassment & Threats
Received credit card from ICICI Bank which I never applied for. Someone used my identity to get the card and spent ₹5000.,Financial Fraud
Found my credit card details being sold on dark web after a data breach at an e-commerce website.,Hacking & Unauthorized Access
Witnessing organized cybercrime activities that need investigation by specialized cyber cell.,Others
Someone gifted me a phone which had pre-installed spyware. They were accessing my camera and microphone remotely.,Ransomware & Malware
Someone created deepfake videos of me and posted them online. The videos show me in compromising situations that never happened.,Social Media Crimes
My competitor is posting negative reviews on my business page with fake accounts to damage my reputation.,Others
Someone recorded our video call where I was partially dressed. Now demanding ₹0 or they'll send it to my family and colleagues.,Online Harassment & Threats
Someone hacked into my phone and is monitoring my calls and messages. They know my conversations and are blackmailing me.,Online Harassment & Threats
Someone posed as a financial advisor and convinced me to invest ₹45000 in fake stocks. The trading platform turned out to be fake.,Financial Fraud
Someone is streaming live matches illegally and selling subscriptions. This is copyright violation.,Social Media Crimes
A fake crypto exchange website stole ₹200000 worth of my digital assets when I tried to trade.,Financial Fraud
"Lost ₹45000 on an illegal online betting app. When I won, they refused to pay and blocked my account.",Others
Joined a skill development course after paying ₹45000. Course content was copied from free YouTube videos.,E-Commerce & Job Fraud
Someone contacted me on social media claiming to be a crypto expert. I paid ₹100000 for their trading signals course but it was fake.,Financial Fraud
False rumors about me are being spread on WhatsApp groups. My reputation in society has been severely damaged.,Social Media Crimes
Mobile got infected after installing a fake app. The virus is stealing my contacts and personal information.,Ransomware & Malware
Ordered items worth ₹0 on an online marketplace. Seller marked as shipped but I never received anything.,E-Commerce & Job Fraud
Someone installed spyware on my device remotely. They're monitoring all my activities including passwords and bank details.,Ransomware & Malware
Paid ₹15000 for study material that was promised to be comprehensive. Received photocopied pages from old books.,E-Commerce & Job Fraud
Gaming account was hacked and all my in-game purchases worth ₹0 were stolen or transferred.,Hacking & Unauthorized Access
A person I met online has my intimate photos. Threatening to post them on social media unless I pay ₹0.,Online Harassment & Threats
Received email about a government subsidy scheme. Had to pay ₹100000 as registration fee. It was a scam and I lost my money.,Financial Fraud
Someone hacked my phone and got access to my private photos. Now extorting ₹0 saying they'll make them viral.,Online Harassment & Threats
"Lost ₹45000 on an illegal online betting app. When I won, they refused to pay and blocked my account.",Others
My credit card was used for unauthorized transactions at various online shopping sites. Total loss: ₹10000. I never made these purchases.,Financial Fraud
Received an email saying my SBI account will be blocked unless I verify. The link took me to a fake site where I entered my details. ₹0 was stolen.,Financial Fraud
Invested ₹45000 in a cryptocurrency trading platform that promised high returns. Cannot withdraw my funds now and the website is not responding.,Financial Fraud
Someone created deepfake videos of me and posted them online. The videos show me in compromising situations that never happened.,Social Media Crimes
Receiving messages with threat to rape and murder. The sender knows my workplace and where my children study.,Online Harassment & Threats
Discovered my book is being distributed as PDF on multiple file-sharing sites without my authorization.,Others
Downloaded a PDF file from email that installed a keylogger on my system. Someone accessed my banking credentials.,Ransomware & Malware
Someone gifted me a phone which had pre-installed spyware. They were accessing my camera and microphone remotely.,Ransomware & Malware
Purchased mobile phone for ₹0 from a fake shopping website. The site disappeared after taking payment.,E-Commerce & Job Fraud
Downloaded a PDF file from email that installed a keylogger on my system. Someone accessed my banking credentials.,Ransomware & Malware
Bought a used laptop for ₹0 on a classified website. Seller took the money and stopped responding.,E-Commerce & Job Fraud
Found multiple fake Instagram accounts using my identity. They're scamming people by selling products in my name.,Social Media Crimes
Discovered a group sharing pirated movies and software illegally. My copyrighted content is also being distributed there.,Social Media Crimes
Invested ₹45000 in a cryptocurrency trading platform that promised high returns. Cannot withdraw my funds now and the website is not responding.,Financial Fraud
My phone is infected with a trojan. It's sending SMS to premium numbers and making unauthorized calls costing ₹0.,Ransomware & Malware
A fake crypto exchange website stole ₹45000 worth of my digital assets when I tried to trade.,Financial Fraud
Got addicted to online gambling apps. Lost ₹150000 in total. These apps should be banned.,Others
Someone posed as HR from a multinational company and offered me a work-from-home job. Paid ₹0 for training but they disappeared.,E-Commerce & Job Fraud
Mobile got infected after installing a fake app. The virus is stealing my contacts and personal information.,Ransomware & Malware
Someone hacked into my phone and is monitoring my calls and messages. They know my conversations and are blackmailing me.,Online Harassment & Threats
My computer was infected with ransomware. All files are encrypted and hackers demand ₹75000 in Bitcoin to decrypt them.,Ransomware & Malware
My medical records were leaked in a hospital data breach. Sensitive health information is now public.,Hacking & Unauthorized Access
My medical records were leaked in a hospital data breach. Sensitive health information is now public.,Hacking & Unauthorized Access
Gaming account was hacked and all my in-game purchases worth ₹0 were stolen or transferred.,Hacking & Unauthorized Access
Discovered my book is being distributed as PDF on multiple file-sharing sites without my authorization.,Others
Someone posed as HR from a multinational company and offered me a work-from-home job. Paid ₹0 for training but they disappeared.,E-Commerce & Job Fraud
Multiple types of cybercrimes are happening simultaneously. Complicated situation requiring immediate attention.,Others
Discovered a complex cyber fraud scheme involving multiple people and platforms.,Others
A fake account impersonating me is messaging my friends and family asking for money transfers.,Social Media Crimes
"Received a UPI payment request instead of receiving money. In confusion, I approved it and ₹75000 was deducted from my account.",Financial Fraud
Someone hacked into my phone and is monitoring my calls and messages. They know my conversations and are blackmailing me.,Online Harassment & Threats
Someone installed spyware on my device remotely. They're monitoring all my activities including passwords and bank details.,Ransomware & Malware
Bought a used laptop for ₹0 on a classified website. Seller took the money and stopped responding.,E-Commerce & Job Fraud
Received email claiming they have my browsing history and webcam recordings. Demanding ₹0 in Bitcoin to delete them.,Online Harassment & Threats
Being blackmailed with morphed obscene photos. The blackmailer wants ₹0 and threatening to send photos to my contacts.,Online Harassment & Threats
Someone created a fake profile using my name and photos on Facebook. They're posting inappropriate content damaging my reputation.,Social Media Crimes
Someone is sharing child pornography in a WhatsApp group I was added to without my knowledge. Need to report this immediately.,Social Media Crimes
Someone is sending me abusive messages daily on WhatsApp and other platforms. They threatened to harm me physically.,Online Harassment & Threats
Anonymous person threatening to upload morphed obscene images of me unless I pay ₹0 immediately.,Online Harassment & Threats
Receiving death threats via email and WhatsApp from unknown numbers. They have my personal photos and threatening to harm my family.,Online Harassment & Threats
"Someone created a fake website looking exactly like ICICI Bank portal. I entered my login credentials and OTP. Within minutes, ₹0 was transferred from my account.",Financial Fraud
A fake crypto exchange website stole ₹100000 worth of my digital assets when I tried to trade.,Financial Fraud
My software code was copied and sold by another developer. This is copyright infringement.,Others
Morphed screenshots of fake conversations are being circulated to defame me. People believe I said things I never did.,Social Media Crimes
A fake account impersonating me is messaging my friends and family asking for money transfers.,Social Media Crimes
Someone contacted me on social media claiming to be a crypto expert. I paid ₹75000 for their trading signals course but it was fake.,Financial Fraud
Bought a used laptop for ₹0 on a classified website. Seller took the money and stopped responding.,E-Commerce & Job Fraud
My server was compromised with ransomware. Database is encrypted and hackers threatening to delete everything unless paid ₹25000.,Ransomware & Malware
Ordered designer clothes worth ₹0. Received used and damaged items completely different from what was advertised.,E-Commerce & Job Fraud
Defamatory posts about my professional competence are affecting my career. All allegations are false.,Others
Being cyberbullied by classmates who created a hate page about me on Instagram with fake stories and morphed photos.,Online Harassment & Threats
Found a dark web forum sharing stolen credit card details and personal information of thousands of people.,Social Media Crimes
Found spyware app hidden on my device. It was sending my WhatsApp chats and photos to an unknown email address.,Ransomware & Malware
Gaming account was hacked and all my in-game purchases worth ₹0 were stolen or transferred.,Hacking & Unauthorized Access
A fake account impersonating me is messaging my friends and family asking for money transfers.,Social Media Crimes
Paid ₹45000 for study material that was promised to be comprehensive. Received photocopied pages from old books.,E-Commerce & Job Fraud
My Instagram account was taken over by a hacker. They changed the password and email. Now demanding ₹0 to return access.,Hacking & Unauthorized Access
Gaming account was hacked and all my in-game purchases worth ₹0 were stolen or transferred.,Hacking & Unauthorized Access
Received ransomware through a fake software update. All my important documents are locked and they want ₹45000.,Ransomware & Malware
Someone contacted me on social media claiming to be a crypto expert. I paid ₹50000 for their trading signals course but it was fake.,Financial Fraud
Found my photos edited with fake quotes attributed to me. These are being used to spread political propaganda.,Social Media Crimes
My credit card was used for unauthorized transactions at various online shopping sites. Total loss: ₹100000. I never made these purchases.,Financial Fraud
"A person sent me a QR code saying scan to receive money. After scanning, ₹150000 was deducted instead of credited.",Financial Fraud
Receiving death threats via email and WhatsApp from unknown numbers. They have my personal photos and threatening to harm my family.,Online Harassment & Threats
Fake videos with my face using deepfake technology are being shared. It shows me saying things I never said.,Social Media Crimes
Someone posed as HR from a multinational company and offered me a work-from-home job. Paid ₹0 for training but they disappeared.,E-Commerce & Job Fraud
A stranger obtained my phone number and address somehow. Now calling repeatedly and sending gifts to my home despite warnings.,Online Harassment & Threats
Someone posed as a financial advisor and convinced me to invest ₹20000 in fake stocks. The trading platform turned out to be fake.,Financial Fraud
Someone posed as HR from a multinational company and offered me a work-from-home job. Paid ₹0 for training but they disappeared.,E-Commerce & Job Fraud
Paid advance ₹0 for a rented apartment found on OLX. The person disappeared with the money and the property doesn't exist.,E-Commerce & Job Fraud
Found spyware app hidden on my device. It was sending my WhatsApp chats and photos to an unknown email address.,Ransomware & Malware
My face was superimposed on inappropriate images and sent to my colleagues. Facing harassment at workplace because of this.,Social Media Crimes
Witnessing organized cybercrime activities that need investigation by specialized cyber cell.,Others
Mobile got infected after installing a fake app. The virus is stealing my contacts and personal information.,Ransomware & Malware
Invested ₹30000 in a cryptocurrency trading platform that promised high returns. Cannot withdraw my funds now and the website is not responding.,Financial Fraud
Someone used my Aadhaar card details to get a SIM card and loan. Now I'm receiving collection calls for a ₹15000 loan I never took.,Hacking & Unauthorized Access
Someone is creating and sharing fake news articles with my name mentioned. It's affecting my business and personal life.,Social Media Crimes
Someone used my Aadhaar card details to get a SIM card and loan. Now I'm receiving collection calls for a ₹200000 loan I never took.,Hacking & Unauthorized Access
Transferred ₹45000 worth of Bitcoin to a wallet address for an investment opportunity. The person disappeared after receiving payment.,Financial Fraud
Discovered a complex cyber fraud scheme involving multiple people and platforms.,Others
Paid ₹0 to an Instagram seller for a product. They blocked me after receiving payment and never sent the item.,E-Commerce & Job Fraud
My photos were morphed with obscene content and shared on adult websites. This is destroying my personal life.,Social Media Crimes
Morphed images of me with fake captions are going viral on social media. Getting threats and abuse from strangers.,Social Media Crimes
"A person sent me a QR code saying scan to receive money. After scanning, ₹15000 was deducted instead of credited.",Financial Fraud
Someone gained access to my online shopping account and ordered products worth ₹0 to a different address.,Hacking & Unauthorized Access
Downloaded software from untrusted website and my computer got infected with virus. All personal data was stolen.,Ransomware & Malware
"Received a UPI payment request instead of receiving money. In confusion, I approved it and ₹50000 was deducted from my account.",Financial Fraud
My PAN card was misused to open a bank account. Fraudulent transactions worth ₹200000 were made through that account.,Hacking & Unauthorized Access
Discovered my identity was stolen when I tried to apply for a loan. Someone already took a loan of ₹25000 using my documents.,Hacking & Unauthorized Access
Discovered a complex cyber fraud scheme involving multiple people and platforms.,Others
Someone posed as HR from a multinational company and offered me a work-from-home job. Paid ₹0 for training but they disappeared.,E-Commerce & Job Fraud
My YouTube videos are being re-uploaded by others without credit. They're monetizing my original content.,Others
"Received a UPI payment request instead of receiving money. In confusion, I approved it and ₹75000 was deducted from my account.",Financial Fraud
My PAN card was misused to open a bank account. Fraudulent transactions worth ₹15000 were made through that account.,Hacking & Unauthorized Access
My computer was infected with ransomware. All files are encrypted and hackers demand ₹20000 in Bitcoin to decrypt them.,Ransomware & Malware
False allegations of fraud are being posted about my company on social media. This is destroying years of goodwill.,Others
Someone hacked my Google Pay account and made unauthorized UPI transactions totaling ₹45000 to unknown numbers.,Financial Fraud
Someone gained access to my online shopping account and ordered products worth ₹0 to a different address.,Hacking & Unauthorized Access
